q_id,Gender,Name,NumSeasons,AvgPER,CareerPoints
1,male,Luis Scola,10,15.85,8882
1,male,Rory Sparrow,18,9.31,8880
1,male,Damian Lillard,5,20.4,8880
1,male,Kevin Porter,12,14.57,8879
1,male,Klay Thompson,6,16.45,8854
1,male,Larry Kenon,10,13.84,8815
1,male,Wesley Person,16,12.96,8794
1,male,Ed Macauley*,8,18.75,8769
1,male,Tom Gola*,12,13.62,8767
1,male,Tom Sanders*,13,10.93,8766
1,male,Joe Graboski,10,13.51,8759
1,male,Darryl Dawkins,16,10.54,8743
1,male,Clem Haskins,9,14.84,8743
1,male,Jim McMillian,9,13.47,8736
1,male,Eddie Miles,11,12.05,8729
1,male,Ken Norman,10,13.25,8717
1,male,Steve Mix,15,15.23,8705
1,male,Bonzi Wells,14,15.66,8695
1,male,Shawn Bradley,16,15.69,8657
1,male,Brandon Jennings,12,14.62,8637
1,male,Sam Mitchell,13,12.19,8636
1,male,Larry Costello,12,13.99,8622
1,male,Spud Webb,14,14.34,8616
1,male,Gar Heard,15,13.24,8586
1,male,Chris Ford,12,11.75,8562
1,male,Mehmet Okur,10,15.84,8561
1,male,Mahmoud Abdul-Rauf,9,14.88,8553
1,male,Tony Campbell,13,13.08,8549
1,male,Ersan Ilyasova,14,14.64,8520
1,male,Jose Calderon,16,15.06,8520
1,male,Howard Komives,12,10.54,8519
1,male,Nick Young,12,12.8,8483
1,male,Kevin Duckworth,13,9.75,8437
1,male,Frank Brickowski,16,12.46,8413
1,male,Corey Brewer,16,12.07,8401
1,male,Serge Ibaka,10,16.91,8400
1,male,D.J. Augustin,15,12.85,8388
1,male,Frank Ramsey*,9,15.42,8378
1,male,Lionel Hollins,12,12.21,8337
1,male,James Posey,14,12.09,8312
1,male,Bob Rule,12,12.13,8295
1,male,Matt Barnes,18,12.03,8291
1,male,Lamond Murray,11,13.46,8286
1,male,Michael Cage,15,13.35,8278
1,male,Stacey Augmon,17,12.26,8269
1,male,Wesley Matthews,8,13.83,8257
1,male,Steve Johnson,14,11.6,8231
1,male,Dave Gambee,13,15.02,8211
1,male,Chris Kaman,13,14.75,8208
1,male,Randy Foye,13,11.1,8203
